UACE Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
07705,0.00029780312922365014,0.00029295114476293494,0.000288257924321208,0.0002837096122999029,0.00027930260288541075,0.0002538769120104936,0.000302146280475099,0.0002976648704131383,0.000303425675880693,0.000309020405315151,0.0003046323775083037,0.0003003643128439656,0.00029621702196783655,0.00029217994514557156,0.00028825142963410667,0.00028442976419855036,0.0002807055670252454,0.00027708011190461293,0.0002735446980860695,0.00027009836808308574,0.000266841117633894,0.0002636614926642568,0.00026055456096556477,0.0002575221385967536,0.000254557398587617,0.0002516621881621354,0.0002488320945240885,0.00024606299212598425
07732,0.00028194782085662015,0.000300895163110253,0.00030104613532023783,0.00030119725910494216,0.00030134853469275004,0.00030149996231250474,0.0003016515421935095,0.0003206659792258746,0.000333408822123248,0.0003398705974169835,0.0003337447419460467,0.00034021320027217056,0.0003403847608481884,0.00034055649453848286,0.00034072840160520937,0.00034090048231105274,0.0003410727369192289,0.000341245165693486,0.0003414177688981058,0.00034159054679790493,0.0003420557550880794,0.0003425200596238622,0.00034933721203498453,0.0003498126912044369,0.0002993382713533274,0.0003443921478590288,0.0003512491697746896,0.0003389396943147663
08380,0.00020545746388443017,0.0002138499276684068,0.00022190716883437094,0.00021756209584819,0.000237093236915417,0.00023262576330328584,0.00023973971117072893,0.0002465953034803564,0.00024219739087356196,0.00034611058233105475,0.0003401505166035971,0.00033439224209998327,0.0003288256812857084,0.00036387159375758063,0.0003580094673614702,0.0003719072972126527,0.00036610273998998036,0.0003699628139940806,0.00041107664710938373,0.00033131781661558854,0.0003308793117710315,0.00033961779230077285,0.00033000275002291685,0.00032956469995880437,0.0003474126897056135,0.0003469559183375333,0.00033737883996389135,0.0003369364282917323
08407,0.0001697648756472286,0.00017659218631514432,0.00017296637330213157,0.00016948476631041635,0.00016614217861261508,0.00016292732482916592,0.00015983602704049493,0.00015685840299691818,0.00015399108663357368,0.0001601209802962238,0.0001572972831263709,0.00016315735238553225,0.0001688191103232886,0.00016599025637195096,0.00020406997151183197,0.00018470038385558037,0.0001896573523833607,0.00021001376756920733,0.00021442629479020682,0.00022624434389140272,0.000256120527306968,0.0002633559066967645,0.0002480270574971815,0.0002777777777777778,0.00027746531683539555,0.0002696629213483146,0.00032921810699588475,0.00035127055306427503
08785,0.00011314944089417575,0.00011375647582437896,0.00011889355825555714,0.0001325152723851424,0.00012815310023708322,0.00014474712676953362,0.00013626872191962552,0.00013218616477394222,0.00012456637689255961,0.00012838147638697845,0.00012842007633860093,0.00012845616520157203,0.00014539700144044473,0.0001417046742769766,0.00015426444782969204,0.0001411277676723327,0.0001408597343262924,0.00013761248324717595,0.00013158741205574628,0.00014298623900435822,0.00014244497015638224,0.00013919859818823472,0.00014143441179296137,0.00014879320876470313,0.00016094749535040568,0.00015008216998806847,0.0003577282784204091,0.0003577602766039186
09271,0.0004457779594860164,0.0005222738022963695,0.0005238628701117905,0.0005507988993151277,0.0005454477471669055,0.0005595169478514096,0.0005461489602482294,0.0005696045520397464,0.0005789482854319586,0.0005929347766785931,0.0005835936073521923,0.00058367516446174,0.000574681067950211,0.0005811484059475579,0.0005768550369866593,0.0005742908405827341,0.0005792395329530724,0.0005995694855024146,0.0006264754276414881,0.000626163143482486,0.0006522073409982772,0.0006294393299373143,0.000628106936620615,0.0006317150523945684,0.0006261803651698909,0.0006292988234878404,0.0006488169503196882,0.000640055497579236
09946,0.0008447002878238018,0.0009204292041684941,0.0012077442022178574,0.0013192532665072317,0.0015886805026656512,0.0014518736223365174,0.001347380158665629,0.0013429212554592045,0.0012648319985479957,0.0009474740565905511,0.0009643629108241423,0.0012164983478637303,0.001311283540682301,0.0015165074244559596,0.0015847440558847538,0.0015256769863947362,0.0015353015622730764,0.00158577828869376,0.001452381194202663,0.0017288256549686147,0.001458868830820837,0.0014112596962851528,0.001335785499951602,0.0012908345962795277,0.0012564119519729445,0.00119947167239955,0.0012084424928969413,0.0011761756057532312
10162,0.00014453713730212106,0.00014628148970282802,0.0001468556131800022,0.00014972870310756166,0.0001778177517182357,0.00018854535544227599,0.00019691245818455818,0.00020294669531351864,0.00020441652634206226,0.00022162472296909628,0.00021964918886692398,0.00023778319084947764,0.00023464884966459672,0.00024372464432819517,0.00021741529632490896,0.00021769198123890927,0.00023439622162053225,0.00024115422303601163,0.00024242608722121,0.0002393559699819454,0.00023845136675987945,0.0002364604687991496,0.0002453215231644305,0.00024441936279328966,0.00024351558227945805,0.00024369838408388447,0.000231905391310407,0.00023425889203171102
11350,0.0003315505910678692,0.00032793706778687067,0.00032827328253387186,0.00032461662776261236,0.0003269478217352104,0.00030915761096693824,0.00031245512881443,0.00031984176463301453,0.0003283094510298925,0.00033582368437488165,0.0003382605593328556,0.0003365880502982315,0.0003224592337912393,0.00033424130347860855,0.00034403285984373167,0.0003497076318177235,0.0003744153056758197,0.0003929814154745701,0.00039787868955355667,0.0004017497483721656,0.0003958595861506763,0.000389985263671594,0.0003798708864611675,0.0003835981506531263,0.00037245923905834664,0.0003730077992539844,0.0003767291444438801,0.0003783267390348652
11755,0.0002345422029376411,0.00023377002873423272,0.00031067357915380285,0.00030965744145538995,0.0003086509061797699,0.00030764793539393356,0.0003258203005213125,0.00046804852421434716,0.00029516219638759555,0.0003131969819199924,0.00046356738756125714,0.00044322897019992457,0.0006016338118202243,0.00041231317059457436,0.00047640399058401523,0.0006145823633485427,0.0006219425028080241,0.0006477582936195808,0.000636519621409199,0.0005701673717123414,0.0005835742096672715,0.0006419645924881101,0.0006455835806575986,0.0006580351426335633,0.0006526378918032209,0.0006473341206315882,0.0006507930998576932,0.0006714124624482452
