UACE,NAME,POP,HOUSING,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI,POPDEN,
02656,"Antigo, WI"," 8,071 "," 4,130 "," 12,555,575 ", 4.85 ," 120,062 ", 0.05 ," 1,664.90 ",
02683,"Antioch, CA"," 326,205 "," 104,264 "," 189,968,288 ", 73.35 ," 2,037,833 ", 0.79 ," 4,447.41 ",
02764,"Appleton, WI"," 230,967 "," 98,811 "," 279,136,276 ", 107.78 ," 10,660,971 ", 4.12 ," 2,143.05 ",
02791,"Arab, AL"," 7,849 "," 3,494 "," 22,520,970 ", 8.70 ," 279,456 ", 0.11 , 902.66 ,
02818,"Aransas Pass--Port Aransas--Ingleside, TX"," 21,868 "," 13,912 "," 63,826,698 ", 24.64 ," 572,244 ", 0.22 , 887.37 ,
02912,"Arcadia, FL"," 16,128 "," 7,287 "," 25,909,522 ", 10.00 ," 15,770 ", 0.01 ," 1,612.20 ",
02930,"Arcata, CA"," 19,714 "," 8,796 "," 20,532,275 ", 7.93 ," 118,564 ", 0.05 ," 2,486.77 ",
03007,"Ardmore, OK"," 21,403 "," 10,020 "," 38,898,730 ", 15.02 ," 360,022 ", 0.14 ," 1,425.07 ",
03034,"Arecibo, PR"," 123,724 "," 59,095 "," 195,525,702 ", 75.49 ," 248,325 ", 0.10 ," 1,638.88 ",
03088,"Arizona City, AZ"," 9,640 "," 4,466 "," 11,238,099 ", 4.34 ," 198,208 ", 0.08 ," 2,221.68 ",
03115,"Arkadelphia, AR"," 10,086 "," 4,205 "," 16,058,897 ", 6.20 ," 1,130 ", 0.00 ," 1,626.68 ",
03142,"Arkansas City, KS"," 11,878 "," 5,372 "," 17,694,779 ", 6.83 ,0.00,0.00," 1,738.59 ",
03158,"Arlington, TN"," 14,230 "," 4,634 "," 19,877,761 ", 7.67 ," 87,911 ", 0.03 ," 1,854.11 ",
03196,"Arroyo Grande--Grover Beach--Pismo Beach, CA"," 50,885 "," 25,235 "," 44,223,390 ", 17.07 ," 158,952 ", 0.06 ," 2,980.13 ",
03223,"Artesia, NM"," 14,149 "," 5,937 "," 17,739,520 ", 6.85 ," 16,866 ", 0.01 ," 2,065.77 ",
03250,"Arvin, CA"," 19,385 "," 4,870 "," 6,073,680 ", 2.35 ,0.00,0.00," 8,266.31 ",
03262,"Asbury Lake--Middleburg, FL"," 23,649 "," 8,746 "," 59,576,581 ", 23.00 ," 700,279 ", 0.27 ," 1,028.10 ",
03277,"Ashburn, GA"," 4,738 "," 2,086 "," 10,999,818 ", 4.25 ," 108,350 ", 0.04 ," 1,115.60 ",
03331,"Asheboro, NC"," 37,523 "," 16,252 "," 71,019,749 ", 27.42 ," 315,965 ", 0.12 ," 1,368.41 ",
03358,"Asheville, NC"," 285,776 "," 138,374 "," 643,832,055 ", 248.58 ," 4,932,387 ", 1.90 ," 1,149.61 ",
03385,"Ashland, OH"," 19,206 "," 8,954 "," 25,515,681 ", 9.85 ," 92,994 ", 0.04 ," 1,949.52 ",
03395,"Ashland, PA"," 4,249 "," 2,530 "," 3,674,775 ", 1.42 ,0.00,0.00," 2,994.70 ",
03412,"Ashland, WI"," 7,225 "," 3,543 "," 10,936,251 ", 4.22 ," 2,466 ", 0.00 ," 1,711.07 ",
03466,"Ashtabula, OH"," 27,421 "," 14,439 "," 56,175,650 ", 21.69 ," 467,129 ", 0.18 ," 1,264.25 ",
03493,"Ashville, OH"," 6,670 "," 2,715 "," 9,860,526 ", 3.81 ,0.00,0.00," 1,751.96 ",
03520,"Aspen, CO"," 7,674 "," 6,597 "," 13,498,106 ", 5.21 ,0.00,0.00," 1,472.47 ",
03547,"Astoria, OR"," 15,825 "," 7,690 "," 25,041,475 ", 9.67 ," 335,804 ", 0.13 ," 1,636.75 ",
03601,"Atchison, KS"," 10,907 "," 4,385 "," 13,947,856 ", 5.39 ," 115,035 ", 0.04 ," 2,025.33 ",
03655,"Athens, AL"," 23,204 "," 10,492 "," 52,039,316 ", 20.09 ," 299,071 ", 0.12 ," 1,154.86 ",
03682,"Athens, OH"," 27,355 "," 10,036 "," 24,482,022 ", 9.45 ," 373,562 ", 0.14 ," 2,893.92 ",
03709,"Athens, TN"," 15,724 "," 7,179 "," 40,074,162 ", 15.47 , 297 , 0.00 ," 1,016.24 ",
03736,"Athens, TX"," 12,050 "," 4,960 "," 24,138,742 ", 9.32 ," 64,685 ", 0.02 ," 1,292.92 ",
03763,"Athens-Clarke County, GA"," 143,213 "," 60,979 "," 237,882,105 ", 91.85 ," 2,426,867 ", 0.94 ," 1,559.26 ",
03790,"Athol, MA"," 13,557 "," 6,243 "," 27,482,042 ", 10.61 ," 1,195,269 ", 0.46 ," 1,277.65 ",
03817,"Atlanta, GA","5,100,112","2,035,642"," 6,612,376,890 "," 2,553.05 "," 99,716,580 ", 38.50 ," 1,997.65 ",
03844,"Atlanta, TX"," 5,531 "," 2,659 "," 17,636,485 ", 6.81 ," 99,001 ", 0.04 , 812.25 ,
03871,"Atlantic, IA"," 6,608 "," 3,309 "," 11,633,452 ", 4.49 ," 113,854 ", 0.04 ," 1,471.16 ",
03904,"Atlantic City--Ocean City--Villas, NJ"," 294,921 "," 201,613 "," 421,843,599 ", 162.87 ," 10,633,955 ", 4.11 ," 1,810.72 ",
03925,"Atmore, AL"," 6,390 "," 3,151 "," 13,219,601 ", 5.10 ," 52,468 ", 0.02 ," 1,251.93 ",
