UACE,Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
63217,"New York--Jersey City--Newark, NY--NJ",17303570,17358713,17413857,17469000,17524144,17579287,17634430,17689574,17744717,17799861,17855004,17910147,17965291,18020434,18075578,18130721,18185864,18241008,18296151,18351295,18458810,18566325,18673841,18781356,18888872,18996387,19103902,19211418,19318933,19426449,19533964,19641479,19748995
71803,"Poughkeepsie--Newburgh, NY",287556,294714,301873,309031,316190,323348,330506,337665,344823,351982,359140,366298,373457,380615,387774,394932,402090,409249,416407,423566,412686,401806,390926,380046,369166,358286,347406,336526,325646,314766,303886,293006,282126
86302,"Syracuse, NY",393222,394227,395232,396237,397242,398247,399252,400257,401262,402267,403272,404277,405282,406287,407292,408297,409302,410307,411312,412317,412451,412585,412719,412854,412988,413122,413257,413391,413525,413660,413794,413928,414062
69076,"Philadelphia, PA--NJ--DE--MD",4885839,4915088,4944337,4973586,5002835,5032083,5061332,5090581,5119830,5149079,5178327,5207576,5236825,5266074,5295323,5324571,5353820,5383069,5412318,5441567,5467022,5492478,5517934,5543390,5568846,5594301,5619757,5645213,5670669,5696125,5721580,5747036,5772492
75664,"Rochester, NY",670837,673455,676072,678690,681308,683925,686543,689160,691778,694396,697013,699631,702248,704866,707484,710101,712719,715336,717954,720572,718947,717323,715698,714074,712449,710825,709200,707576,705951,704327,702702,701078,699453
41914,"Ithaca, NY",53408,53421,53434,53448,53461,53474,53488,53501,53514,53528,53541,53554,53567,53581,53594,53607,53621,53634,53647,53661,54205,54749,55293,55837,56381,56925,57469,58013,58557,59102,59646,60190,60734
15481,"Charleston, WV",209803,206824,203845,200866,197887,194907,191928,188949,185970,182991,180011,177032,174053,171074,168095,165115,162136,159157,156178,153199,151974,150750,149526,148302,147078,145854,144630,143406,142182,140958,139733,138509,137285
40753,"Huntington, WV--KY--OH",154971,157480,159989,162497,165006,167515,170023,172532,175041,177550,180058,182567,185076,187584,190093,192602,195110,197619,200128,202637,202389,202141,201893,201645,201397,201149,200901,200653,200405,200157,199909,199661,199413
74746,"Richmond, VA",697588,711060,724532,738004,751476,764948,778420,791892,805364,818836,832308,845780,859252,872724,886196,899668,913140,926612,940084,953556,964115,974674,985234,995793,1006353,1016912,1027471,1038031,1048590,1059150,1069709,1080268,1090828
75421,"Roanoke, VA",186039,187306,188573,189840,191107,192374,193641,194908,196175,197442,198708,199975,201242,202509,203776,205043,206310,207577,208844,210111,210831,211551,212271,212991,213711,214431,215151,215871,216591,217312,218032,218752,219472
52201,"Lynchburg, VA",82584,84376,86168,87960,89753,91545,93337,95129,96921,98714,100506,102298,104090,105882,107675,109467,111259,113051,114843,116636,117532,118428,119324,120220,121116,122012,122908,123804,124700,125596,126492,127388,128284
01495,"Allentown--Bethlehem, PA--NJ",496989,505813,514637,523462,532286,541110,549935,558759,567583,576408,585232,594056,602880,611705,620529,629353,638178,647002,655826,664651,660356,656061,651766,647471,643177,638882,634587,630292,625997,621703,617408,613113,608818
01792,"Altoona, PA",84851,84592,84333,84074,83815,83556,83297,83038,82779,82520,82261,82002,81743,81484,81225,80966,80707,80448,80189,79930,79379,78829,78278,77728,77178,76627,76077,75526,74976,74426,73875,73325,72774
43291,"Johnstown, PA",82502,81792,81082,80372,79662,78952,78242,77532,76822,76113,75403,74693,73983,73273,72563,71853,71143,70433,69723,69014,68264,67515,66766,66016,65267,64518,63768,63019,62270,61521,60771,60022,59273
27766,"Erie, PA",193177,193358,193539,193719,193900,194081,194261,194442,194623,194804,194984,195165,195346,195526,195707,195888,196068,196249,196430,196611,195731,194852,193973,193094,192215,191336,190457,189578,188699,187820,186940,186061,185182
80227,"Scranton, PA",388598,388225,387851,387478,387104,386731,386357,385984,385610,385237,384863,384490,384116,383743,383369,382996,382622,382249,381875,381502,380023,378544,377065,375586,374107,372628,371149,369670,368191,366713,365234,363755,362276
69697,"Pittsburgh, PA",1770490,1768562,1766634,1764705,1762777,1760849,1758920,1756992,1755064,1753136,1751207,1749279,1747351,1745422,1743494,1741566,1739637,1737709,1735781,1733853,1734971,1736090,1737208,1738327,1739446,1740564,1741683,1742801,1743920,1745039,1746157,1747276,1748394
95455,"Williamsport, PA",60988,60733,60478,60223,59968,59713,59458,59203,58948,58693,58437,58182,57927,57672,57417,57162,56907,56652,56397,56142,56062,55982,55902,55822,55743,55663,55583,55503,55423,55344,55264,55184,55104
92242,"Washington--Arlington, DC--VA--MD",3346355,3411640,3476925,3542210,3607495,3672780,3738065,3803350,3868635,3933920,3999205,4064490,4129775,4195060,4260345,4325630,4390915,4456200,4521485,4586770,4645568,4704367,4763166,4821965,4880764,4939563,4998362,5057161,5115960,5174759,5233557,5292356,5351155
04843,"Baltimore, MD",1961775,1974506,1987237,1999968,2012699,2025430,2038161,2050892,2063623,2076354,2089084,2101815,2114546,2127277,2140008,2152739,2165470,2178201,2190932,2203663,2204500,2205338,2206175,2207013,2207850,2208688,2209525,2210363,2211200,2212038,2212875,2213713,2214550
94726,"Wheeling, WV--OH",93340,92704,92067,91431,90795,90158,89522,88885,88249,87613,86976,86340,85703,85067,84431,83794,83158,82521,81885,81249,78893,76538,74182,71827,69472,67116,64761,62405,60050,57695,55339,52984,50628
15724,"Charlottesville, VA",71630,72721,73812,74903,75994,77085,78176,79267,80358,81449,82540,83631,84722,85813,86904,87995,89086,90177,91268,92359,93542,94725,95908,97091,98275,99458,100641,101824,103007,104191,105374,106557,107740
84493,"State College, PA",56763,58378,59993,61609,63224,64839,66455,68070,69685,71301,72916,74531,76146,77762,79377,80992,82608,84223,85838,87454,87076,86698,86320,85942,85564,85186,84808,84430,84052,83674,83296,82918,82540
31519,"Frederick, MD",98955,101198,103441,105684,107928,110171,112414,114657,116900,119144,121387,123630,125873,128116,130360,132603,134846,137089,139332,141576,145064,148552,152040,155528,159016,162504,165992,169480,172968,176456,179944,183432,186920
90892,"Virginia Beach--Norfolk, VA",1353734,1358257,1362780,1367302,1371825,1376348,1380870,1385393,1389916,1394439,1398961,1403484,1408007,1412529,1417052,1421575,1426097,1430620,1435143,1439666,1440857,1442048,1443239,1444430,1445622,1446813,1448004,1449195,1450386,1451578,1452769,1453960,1455151
