UACE Code,Primary UZA Name,UZA Area SQ Miles,UZA Population,Cities
34219,"Grand Forks, ND--MN",26.48,68160,Grand Forks ND
57736,"Missoula, MT",44.29,88109,Missoula MT
30628,"Fort Collins, CO",117.98,326332,"Fort Collins CO, Loveland CO"
74179,"Reno, NV--CA",165.43,446529,Reno NV
78904,"San Francisco--Oakland, CA",513.8,3515933,"Oakland CA, San Carlos CA, San Francisco CA, Pinole CA, San Rafael CA"
04681,"Bakersfield, CA",132.12,570235,Bakersfield CA
79336,"Santa Cruz, CA",60.45,169038,Santa Cruz CA
51445,"Los Angeles--Long Beach--Anaheim, CA",1636.83,12237376,"Santa Monica CA, Torrance CA, Norwalk CA, Long Beach CA, La Mirada CA, Orange CA, Culver City CA, Montebello CA, Gardena CA, Commerce CA, West Covina CA, Los Angeles CA, El Monte CA, Anaheim CA, Redondo Beach CA, Glendale CA, Pasadena CA, La Verne CA"
85087,"Stockton, CA",92.46,414847,Stockton CA
79039,"San Jose, CA",285.48,1837446,San Jose CA
79498,"Santa Rosa, CA",79.39,297329,"Santa Rosa CA, Petaluma CA"
77068,"Sacramento, CA",467.58,1946618,"Sacramento CA, Woodland CA, Auburn CA"
79282,"Santa Barbara, CA",54.81,202197,Santa Barbara CA
78661,"San Diego, CA",674.72,3070300,"San Diego CA, Oceanside CA"
31843,"Fresno, CA",159.11,717589,Fresno CA
75340,"Riverside--San Bernardino, CA",608.56,2276703,"San Bernardino CA, Riverside CA"
69184,"Phoenix--Mesa--Scottsdale, AZ",1110.48,3976313,"Phoenix AZ, Glendale AZ, Scottsdale AZ, Peoria AZ"
88732,"Tucson, AZ",357.35,875441,Tucson AZ
66673,"Oxnard--San Buenaventura (Ventura), CA",76.61,376117,"Oxnard CA, Camarillo CA"
80362,"Seaside--Monterey--Pacific Grove, CA",41.18,123495,Monterey CA
19504,"Concord--Walnut Creek, CA",175.76,538583,Concord CA
41347,"Indio--Palm Desert--Palm Springs, CA",151.82,361075,Thousand Palms CA
79417,"Santa Maria, CA",27.06,143609,Santa Maria CA
90946,"Visalia, CA",37.7,160578,Visalia CA
28657,"Fairfield, CA",40.81,150122,Fairfield CA
