NTD ID,Agency Name,City,State,Primary UZA Name,UZA Area SQ Miles,UZA Population,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00019,Intercity Transit (I.T.),Olympia,WA,"Olympia--Lacey, WA",106.21,208157,3180064.0,3690076.0,3440221.0,4256598.0,4063891.0,3724485.0,4008186.0,3699030.0,3714417.0,3126716.0,2878650.0,2785175.0,2959522.0,3167270.0,3369337.0,3867166.0,4306025.0,5141672.0,5127304.0,5101082.0,5338470.0,5462227.0,5352145.0,5374239.0,5134592.0,4889081.0,4649960.0,4475180.0,4736809.0,2333776.0,2615225.0,3311656.0,3898995.0
00020,Kitsap County Public Transportation Benefit Area Authority (KT ),Bremerton,WA,"Bremerton, WA",146.91,224449,3197640.0,3301576.0,3230463.0,4037013.0,4727569.0,5427508.0,5495805.0,5340417.0,5618317.0,3866369.0,4156717.0,4688507.0,5049265.0,5170932.0,5314086.0,5106907.0,5079859.0,5375564.0,4580367.0,3890958.0,3933917.0,3852205.0,3928378.0,3808246.0,3813354.0,3549994.0,3616594.0,3828754.0,3850213.0,1949878.0,1725333.0,2201451.0,2739131.0
00021,Whatcom Transportation Authority (WTA),Bellingham,WA,"Bellingham, WA",50.13,128979,2276681.0,2257704.0,2097354.0,2679178.0,2584816.0,2889128.0,2984598.0,2938139.0,3068011.0,3078860.0,3073082.0,3184777.0,3173159.0,3557061.0,3540198.0,3655514.0,4089921.0,5130053.0,5908778.0,5116647.0,5354464.0,6121891.0,5922381.0,6190270.0,5200826.0,4968178.0,4870954.0,4805835.0,4703865.0,2049632.0,1864402.0,3101980.0,3724696.0
00025,Salem Area Mass Transit District (SAMTD or SKT),Salem,OR,"Salem, OR",72.68,268331,2737656.0,2974243.0,3129967.0,3165049.0,2988284.0,3050823.0,3507778.0,3907665.0,4039224.0,4206498.0,4476166.0,4829278.0,5374348.0,5581363.0,5653605.0,5866928.0,5581691.0,5500759.0,5222334.0,4775726.0,4688739.0,3848517.0,3975034.0,3927117.0,4025941.0,3637866.0,3578029.0,3537686.0,3272941.0,2874571.0,1856553.0,2218911.0,3027255.0
00034,Rogue Valley Transportation District (RVTD),Medford,OR,"Medford, OR",63.02,171640,1350912.0,727023.0,702326.0,853540.0,967694.0,1014161.0,542076.0,671670.0,671771.0,651924.0,849208.0,922847.0,1073873.0,1156070.0,1315918.0,1408714.0,1000860.0,1026110.0,1108230.0,1033242.0,1116465.0,1375318.0,1474350.0,1456140.0,1367861.0,1100273.0,1174062.0,1210070.0,1232952.0,1086025.0,606077.0,690639.0,875282.0
00043,Chelan Douglas PTBA ,Wenatchee,WA,"Wenatchee, WA",32.6,78142,,,,,,,,,,,,,,717305.0,806048.0,891545.0,907806.0,1030214.0,981783.0,1029155.0,1033844.0,925156.0,947335.0,1042630.0,1063333.0,1034597.0,1006590.0,1001983.0,1036007.0,745336.0,823874.0,949524.0,1113038.0
00044,Skagit Transit (SKT),Burlington,WA,"Mount Vernon, WA",30.66,66825,,,,,,,,,,,,,,298340.0,354796.0,495538.0,561100.0,667236.0,676467.0,705885.0,790285.0,874790.0,936815.0,1026038.0,1002069.0,877448.0,838886.0,907487.0,896118.0,398923.0,384250.0,483277.0,573848.0
00057,Central Oregon Intergovernmental Council (CET) - Cascades East Transit,Bend,OR,"Bend, OR",42.41,106988,,,,,,,,,,,,,,,,,,13199.0,96375.0,165507.0,206403.0,743433.0,700408.0,618367.0,604387.0,670658.0,693124.0,733002.0,745968.0,635662.0,329524.0,423611.0,503039.0
10001,Rhode Island Public Transit Authority (RIPTA),Providence,RI,"Providence, RI--MA",544.25,1285806,16255089.0,14371351.0,14442057.0,14432662.0,14918049.0,14714690.4,15635754.0,14475348.0,15752919.0,15931860.0,14220775.0,14130482.0,17005856.0,17169189.0,19302537.0,20064574.0,21311437.0,21732104.0,20410410.0,20160863.0,20105354.0,20469227.0,20483300.0,20448492.0,18476860.0,18186734.0,16602919.0,16718409.0,16431596.0,13460458.0,7967544.0,9684186.0,11412537.0
10064,Greater Attleboro-Taunton Regional Transit Authority (GATRA),Taunton,MA,"Providence, RI--MA",544.25,1285806,760490.0,781998.0,988450.0,1164696.0,1357869.0,1313578.0,1342961.0,1226886.0,1154567.0,1149317.0,1146049.0,1049572.0,944439.0,921466.0,872707.0,862393.0,904529.0,935130.0,924637.0,974525.0,1062138.0,1141481.0,1177036.0,1195735.0,1167103.0,1121512.0,1057971.0,1046478.0,1034072.0,774725.0,451428.0,597271.0,707860.0
11147,Rhode Island Department of Transportation (RIDOT),Providence,RI,"Providence, RI--MA",544.25,1285806,,,,,,,,,,,,,,,,,,,,,,,,,,,42832.0,41902.0,42686.0,37379.0,18453.0,32316.0,34821.0
10003,Massachusetts Bay Transportation Authority (MBTA) - Treasurer Controller,Boston,MA,"Boston, MA--NH",1655.89,4382009,297431367.0,323686321.0,336933977.0,398827013.0,321885416.0,313170580.0,319705436.0,339735330.0,354965815.0,354860333.0,364337295.0,388975811.0,388605206.0,389910299.0,394850846.0,380260730.0,357578991.0,370718600.0,367247601.0,356060335.0,380694311.0,401616849.0,395253978.0,409248438.0,405950873.0,403003734.0,382676332.0,372398838.0,366716896.0,277410755.0,120951784.0,203455402.0,234975556.0
10004,Brockton Area Transit Authority (BAT),Brockton,MA,"Boston, MA--NH",1655.89,4382009,3762998.0,3743100.0,3697874.0,3853040.0,4151116.0,3637247.0,3645148.0,3709548.0,3496760.0,3577131.0,3575525.0,3287515.0,2925261.0,2824580.0,3220106.0,2906706.0,2907732.0,2880736.0,3031591.0,3101405.0,3126337.0,3114104.0,3051493.0,3044088.0,3031578.0,3036299.0,2927470.0,2832408.0,2810606.0,2118785.0,1209743.0,1473619.0,1859235.0
