NTD ID,Agency Name,City,State,UZA Name,UACE Code,UZA Area SQ Miles,UZA Population,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
20075,Port Authority Transit Corporation (PATCO),Camden,NJ,"Philadelphia, PA--NJ--DE--MD",69076,1898.19,5696125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30019,Southeastern Pennsylvania Transportation Authority (SEPTA),Philadelphia,PA,"Philadelphia, PA--NJ--DE--MD",69076,1898.19,5696125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30002,The Tri-State Transit Authority (TTA),Huntington,WV,"Huntington, WV--KY--OH",40753,128.87,200157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30006,Greater Richmond Transit Company (GRTC),Richmond,VA,"Richmond, VA",74746,512.35,1059150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30007,Greater Roanoke Transit Company (GRTC),Roanoke,VA,"Roanoke, VA",75421,125.5,217312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30008,Greater Lynchburg Transit Company (GLTC),Lynchburg,VA,"Lynchburg, VA",52201,91.6,125596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,Lehigh and Northampton Transportation Authority (LANTA),Allentown,PA,"Allentown--Bethlehem, PA--NJ",01495,261.55,621703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30011,Altoona Metro Transit,Altoona,PA,"Altoona, PA",01792,37.01,74426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30012,Cambria County Transit Authority,Johnstown,PA,"Johnstown, PA",43291,34.7,61521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30013,Erie Metropolitan Transit Authority (EMTA),Erie,PA,"Erie, PA",27766,73.34,187820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30015,Luzerne County Transportation Authority (LCTA),Kingston,PA,"Scranton, PA",80227,162.16,366713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30025,County of Lackawanna Transit System (COLTS),Scranton,PA,"Scranton, PA",80227,162.16,366713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30022,Pittsburgh Regional Transit (PRT),Pittsburgh,PA,"Pittsburgh, PA",69697,906.64,1745039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30023,Beaver County Transit Authority (BCTA),Rochester,PA,"Pittsburgh, PA",69697,906.64,1745039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30044,Westmoreland County Transit Authority (WCTA),Greensburg,PA,"Pittsburgh, PA",69697,906.64,1745039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30061,Mid Mon Valley Transit Authority (MMVTA),Charleroi,PA,"Pittsburgh, PA",69697,906.64,1745039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30026,River Valley Transit Authority (RVTA),Williamsport,PA,"Williamsport, PA",95455,27.72,55344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30030,Washington Metropolitan Area Transit Authority (WMATA),Washington,DC,"Washington--Arlington, DC--VA--MD",92242,1294.51,5174759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30034,Maryland Transit Administration (MTA),Baltimore,MD,"Baltimore, MD",04843,654.93,2212038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30035,Ohio Valley Regional Transportation Authority (OVRTA / EORTA),Wheeling,WV,"Wheeling, WV--OH",94726,36.81,57695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30054,Centre Area Transportation Authority (CATA),State College,PA,"State College, PA",84493,25.92,83674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40001,Chattanooga Area Regional Transportation Authority (CARTA),Chattanooga,TN,"Chattanooga, TN--GA",15832,291.7,398569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40002,City of Knoxville (KAT) - Mass Transit,Knoxville,TN,"Knoxville, TN",45640,431.91,597257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40003,City of Memphis (MATA),Memphis,TN,"Memphis, TN--MS--AR",56116,491.27,1056190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40004,Metropolitan Transit Authority (MTA),Madison,TN,"Nashville-Davidson, TN",61273,584.95,1158642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40007,City of Raleigh - Transit,Raleigh,NC,"Raleigh, NC",73261,554.82,1106646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40008,City of Charlotte North Carolina (CATS) - Charlotte Area Transit System,Charlotte,NC,"Charlotte, NC--SC",15670,657.61,1379873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40009,City of Fayetteville (FAST) - Transit,Fayetteville,NC,"Fayetteville, NC",29440,195.92,325008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40012,City of Winston Salem (WSTA) - Department of Transportation,Winston Salem,NC,"Winston-Salem, NC",96670,310.79,420924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40017,Lexington Transit Authority,Lexington,KY,"Lexington-Fayette, KY",49582,83.99,315631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40021,City of Albany (ATS) - Albany Transit Department ,Albany,GA,"Albany, GA",00901,66.51,85960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
